"order_id";"date_ordered";"date_fulfilled"
1;"2022-03-15 09:30:00";"2024-08-01 12:30:00"
2;"2019-07-22 14:45:00";""
3;"2021-01-10 11:00:00";""
4;"2020-11-25 16:30:00";"2024-08-04 15:15:00"
5;"2018-06-05 08:15:00";""
6;"2023-04-19 13:00:00";"2024-08-06 17:45:00"
7;"2017-12-30 20:45:00";""
8;"2016-09-08 22:00:00";"2024-08-08 19:15:00"
9;"2021-02-14 18:30:00";"2024-08-09 20:30:00"
10;"2015-10-25 10:00:00";"2024-08-10 21:45:00"
11;"2019-05-06 12:15:00";""
12;"2022-08-23 17:00:00";"2024-08-14 01:45:00"
13;"2018-03-02 06:45:00";"2024-08-14 01:45:00"
14;"2017-11-18 19:30:00";"2024-08-14 01:45:00"
15;"2020-07-04 21:00:00";""
16;"2021-09-11 15:30:00";"2024-08-14 01:45:00"
